Game Title,Platform,Link
Pumped BMX por,Amazon,NA
Puzzle Agent 2,Amazon,https://www.metacritic.com/game/pc/puzzle-agent-2
Qubo2,Amazon,https://www.metacritic.com/game/pc/qubo
Republique,Amazon,https://www.metacritic.com/game/pc/republique-remastered
Rogue Heroes Samurai Shodown 2,Amazon,https://www.metacritic.com/game/pc/samurai-shodown-2
Samurai Showdown special,Amazon,https://www.metacritic.com/game/pc/samurai-shodown-v-special
Sanitarium,Amazon,https://www.metacritic.com/game/pc/sanitarium
Secret Files Sam Peters,Amazon,https://www.metacritic.com/game/pc/secret-files-sam-peters
Sengoku 3,Amazon,https://www.metacritic.com/game/pc/sengoku-3
Serial Cleaner,Amazon,https://www.metacritic.com/game/pc/serial-cleaner
Seum ,Amazon,https://www.metacritic.com/game/pc/seum-speedrunners-from-hell
Sheltered,Amazon,https://www.metacritic.com/game/pc/sheltered
Shock Troopers,Amazon,https://www.metacritic.com/game/pc/shock-troopers
Shock Troopers Second Squad,Amazon,https://www.metacritic.com/game/pc/shock-troopers-2nd-squad
Civilization IV,Amazon,https://www.metacritic.com/game/pc/sid-meiers-civilization-iv
Sigma Theory Global Cold War,Amazon,https://www.metacritic.com/game/pc/sigma-theory-global-cold-war
Silver Chains,Amazon,https://www.metacritic.com/game/playstation-4/silver-chains
Smoke and sacrifice,Amazon,https://www.metacritic.com/game/pc/smoke-and-sacrifice
SNK 40th Annimversary Collection,Amazon,https://www.metacritic.com/game/pc/snk-40th-anniversary-collection
Sokobond,Amazon,https://www.metacritic.com/game/pc/sokobond
soma,Amazon,https://www.metacritic.com/game/pc/soma
spitkiss,Amazon,https://www.metacritic.com/game/pc/spitkiss
Steamworld Dig,Amazon,https://www.metacritic.com/game/pc/steamworld-dig
Steamworld Dig 2,Amazon,https://www.metacritic.com/game/pc/steamworld-dig-2
Strafe,Amazon,https://www.metacritic.com/game/pc/strafe
Superhot,Amazon,https://www.metacritic.com/game/pc/superhot
Surf,Amazon,NA
Sword Legacy Omen,Amazon,https://www.metacritic.com/game/pc/sword-legacy-omen
System Shock 2,Amazon,https://www.metacritic.com/game/pc/system-shock-2
System Shock,Amazon,https://www.metacritic.com/game/pc/system-shock-enhanced-edition
Tacoma,Amazon,https://www.metacritic.com/game/pc/tacoma
Tales from the Borderlands,Amazon,https://www.metacritic.com/game/pc/tales-from-the-borderlands-a-telltale-game-series
The Adventure Pals,Amazon,https://www.metacritic.com/game/pc/the-adventure-pals
The Banner Saga ,Amazon,https://www.metacritic.com/game/pc/the-banner-saga
The Banner Saga 2,Amazon,https://www.metacritic.com/game/pc/the-banner-saga-2
The Bridge,Amazon,https://www.metacritic.com/game/pc/the-bridge-2013
The Flame in the Flood,Amazon,https://www.metacritic.com/game/pc/the-flame-in-the-flood
The King of Fighters '97 Global Match,Amazon,https://www.metacritic.com/game/pc/the-king-of-fighters-97-global-match
The King of Fighters '98,Amazon,https://www.metacritic.com/game/pc/the-king-of-fighters-98-ultimate-match-final-edition
The King of Fighters 2000,Amazon,https://www.metacritic.com/game/pc/the-king-of-fighters-2000
The King of Fighters 2002,Amazon,NA
The King of Fighters 2002 Unlimited Match,Amazon,https://www.metacritic.com/game/pc/the-king-of-fighters-2002-unlimited-match
The Last Blade,Amazon,https://www.metacritic.com/game/pc/the-last-blade
The Last Blade 2,Amazon,https://www.metacritic.com/game/pc/the-last-blade-2
The Messenger,Amazon,https://www.metacritic.com/game/pc/the-messenger
The Original Strife Veteran Edition,Amazon,https://www.metacritic.com/game/pc/the-original-strife-veteran-edition
The Red Strings Club,Amazon,https://www.metacritic.com/game/pc/the-red-strings-club
The Swords of Ditto,Amazon,https://www.metacritic.com/game/pc/the-swords-of-ditto
Tiny Troopers Joint Ops ,Amazon,https://www.metacritic.com/game/pc/tiny-troopers-joint-ops
Titan Souls,Amazon,https://www.metacritic.com/game/pc/titan-souls
Tokyo 42,Amazon,https://www.metacritic.com/game/pc/tokyo-42
Turmoil,Amazon,https://www.metacritic.com/game/pc/turmoil
Twinkle Star Sprites,Amazon,https://www.metacritic.com/game/pc/twinkle-star-sprites
Tyranny ,Amazon,https://www.metacritic.com/game/pc/tyranny
Uurnog Uunlimited,Amazon,https://www.metacritic.com/game/pc/uurnog-uurnlimited
Void Bastards,Amazon,https://www.metacritic.com/game/pc/void-bastards
Vostok Inc.,Amazon,https://www.metacritic.com/game/pc/vostok-inc
When Ski Lifts Go Wrong,Amazon,https://www.metacritic.com/game/pc/when-ski-lifts-go-wrong
Wizard of Legend,Amazon,https://www.metacritic.com/game/pc/wizard-of-legend
Wizardry 6,Amazon,https://www.metacritic.com/game/pc/wizardry-vi-bane-of-the-cosmic-forge
Wizardry 7,Amazon,https://www.metacritic.com/game/pc/wizardry-vii-crusaders-of-the-dark-savant
Wizardry 8,Amazon,https://www.metacritic.com/game/pc/wizardry-8
Control Ultimate Edition,GOG,https://www.metacritic.com/game/pc/control-ultimate-edition
The Witcher Enhanced Edition Director's Cut,GOG,https://www.metacritic.com/game/pc/the-witcher-enhanced-edition
Battlefield 4,Origin,https://www.metacritic.com/game/pc/battlefield-4
Dragon Age Inquisition,Origin,https://www.metacritic.com/game/pc/dragon-age-inquisition
Star Wars Squadrons,Origin,https://www.metacritic.com/game/pc/star-wars-squadrons
Tom Clancy's the Division,Ubisoft,https://www.metacritic.com/game/pc/tom-clancys-the-division
The Legend of Zelda Breath of the Wild,Nintendo Switch,https://www.metacritic.com/game/switch/the-legend-of-zelda-breath-of-the-wild
Bastion,Nintendo Switch,https://www.metacritic.com/game/switch/bastion
Hades,Nintendo Switch,https://www.metacritic.com/game/switch/hades
Mario Vs. Rabbids Kingdom Battle,Nintendo Switch,https://www.metacritic.com/game/switch/mario-+-rabbids-kingdom-battle
Final Fantast X,Playstation 2,https://www.metacritic.com/game/playstation-2/final-fantasy-x
Prince of Persia,Playstation 2,https://www.metacritic.com/game/playstation-2/prince-of-persia-the-sands-of-time
